date,value,series,series_id,category,unit,frequency
2025-12-01,183.4337899543379,Dwelling Price Index ;  Australian Capital Territory ;,A83728642V,House Prices,Index,Quarter
2026-03-01,185.93607305936072,Dwelling Price Index ;  Australian Capital Territory ;,A83728642V,House Prices,Index,Quarter
2011-09-01,100,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2011-12-01,98.98298816568047,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2012-03-01,101.16494082840237,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2012-06-01,102.1079881656805,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2012-09-01,100.68417159763314,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2012-12-01,103.92011834319528,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2013-03-01,105.26997041420118,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2013-06-01,107.24852071005917,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2013-09-01,109.83727810650889,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2013-12-01,114.75591715976333,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2014-03-01,116.71597633136098,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2014-06-01,120.17381656804736,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2014-09-01,123.24334319526629,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2014-12-01,128.23594674556213,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2015-03-01,132.80325443786984,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2015-06-01,140.69896449704143,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2015-09-01,145.728550295858,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2015-12-01,144.56360946745562,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2016-03-01,144.10133136094674,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2016-06-01,148.29881656804736,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2016-09-01,152.3113905325444,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2016-12-01,158.78328402366867,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2017-03-01,163.79437869822488,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2017-06-01,167.69600591715977,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2017-09-01,166.03180473372782,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2017-12-01,167.65902366863907,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2018-03-01,166.38313609467457,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2018-06-01,163.84985207100593,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2018-09-01,160.59541420118344,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2018-12-01,156.30547337278108,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2019-03-01,152.6812130177515,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2019-06-01,153.0140532544379,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2019-09-01,159.72633136094677,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2019-12-01,163.4060650887574,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2020-03-01,165.64349112426035,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2020-06-01,164.20118343195267,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2020-09-01,168.80547337278108,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2020-12-01,176.14644970414204,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2021-03-01,186.03920118343197,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2021-06-01,193.1028106508876,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2021-09-01,212.3335798816568,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2021-12-01,223.53920118343197,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2022-03-01,225.81360946745565,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2022-06-01,220.2847633136095,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2022-09-01,210.09615384615387,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
2022-12-01,209.57840236686397,Dwelling Price Index ;  New South Wales ;,A83728607L,House Prices,Index,Quarter
